,,acc,acc,ece,ece,brier,brier,ece-t,ece-t,brier-t,brier-t,auc,auc
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,prompt,,,,,,,,,,,,
2WikiMultihopQA,cot,0.552,0.0,0.20143,0.019607830068623117,0.23309269999999999,0.015466475461461801,0.047552620452848235,0.006670081873339717,0.19778780223574166,0.012532205950913604,0.7766057679865425,0.0
2WikiMultihopQA,direct,0.41116751269035534,0.0,0.361502538071066,0.00702817496732847,0.3588123857868021,0.01163779733811081,0.13048410480667624,0.01728944862749588,0.2446036797601804,0.004095166391153416,0.5864729672200936,0.0
2WikiMultihopQA,multistep,0.53,0.0,0.26757054211715003,0.016269984602377097,0.29091643280780377,0.010652621549184865,0.11912311581569876,0.015439128524633665,0.23700205673199984,0.0034475035097549086,0.7032256122039342,0.0
2WikiMultihopQA,top-k,0.403,0.0,0.30244,0.03238864384317443,0.3232526000000001,0.0240999023478312,0.11913855796221404,0.010126046363540009,0.2489473322107377,0.0018957495708346744,0.6090502138483983,0.0
HotpotQA,cot,0.649546827794562,0.0,0.18692010557839706,0.01845593996828326,0.2039109167047358,0.014623435303111167,0.10921003757620291,0.028059349520001324,0.1765918373260444,0.0064430348801615385,0.8183351153880425,0.0
HotpotQA,direct,0.5307068366164542,0.0,0.287802661648071,0.01405684368680247,0.29536034144374246,0.01613175447498696,0.14292789141501652,0.04813040507622307,0.22457032887487247,0.007808407781586417,0.7530594641220552,0.0
HotpotQA,multistep,0.64,0.0,0.31947835791859996,0.017096334497394207,0.2972427587727899,0.018552125399592136,0.19267683804634023,0.01475054997288759,0.2439496639522165,0.005295131070619405,0.7350347222222222,0.0
HotpotQA,top-k,0.537,0.0,0.21231,0.008949120068476047,0.2334601,0.013194348957981973,0.1610185471520038,0.007037010548411558,0.21267680033147668,0.005104286191442097,0.7913997047833939,0.0
MuSiQue,cot,0.3155241935483871,0.0,0.3901015176894574,0.01647955178913538,0.3544134307903152,0.024414868344527402,0.22103634193414842,0.006925117244823173,0.2400276415976994,0.009687857515657988,0.7586777209483971,0.0
MuSiQue,direct,0.18200408997955012,0.0,0.5204285714285715,0.019720673344094337,0.4361777603349033,0.014166544746646068,0.31886865695568434,0.002302810983426426,0.25035941948419327,0.0007897175158031654,0.6939185393258427,0.0
MuSiQue,multistep,0.28857715430861725,0.0,0.0858157441755985,0.009673776051804228,0.1915421804413593,0.00574997404968078,0.06298335345396909,0.011845456150816848,0.1884247501596727,0.00537601179614273,0.6956866197183098,0.0
MuSiQue,top-k,0.174,0.0,0.4585000000000001,0.02320829593055035,0.37112500000000004,0.03203452239381758,0.32601311422750817,0.0022346603517545065,0.25000494222747954,7.350635252690432e-06,0.6932210347610699,0.0
