,,acc,acc,ece,ece,brier,brier,ece-t,ece-t,brier-t,brier-t,auc,auc
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,prompt,,,,,,,,,,,,
2WikiMultihopQA,cot,0.41899999999999993,0.0,0.43450000000000005,0.007485402460789947,0.408955,0.007699901582163227,0.1634517540278654,0.017175913232663053,0.2416987135052905,0.005084080521708691,0.7306080784097865,0.0
2WikiMultihopQA,direct,0.361,0.0,0.42835,0.010663313274962899,0.40847750000000005,0.009746759878287726,0.13901848093615748,0.0022372624413995973,0.25000325352623476,1.0124920155785785e-06,0.5863711044351674,0.0
2WikiMultihopQA,multistep,0.418,0.0,0.10300491077899998,0.016557460320402964,0.229137757054147,0.011679976161197696,0.12405751835735068,0.024999611822729553,0.2419113959039763,0.005840499541964893,0.6903743073710519,0.0
2WikiMultihopQA,top-k,0.349,0.0,0.42195,0.005964478183378667,0.4061325,0.003875802336291163,0.15101180431745553,0.002235843660721134,0.2500030035879436,2.4274334994033335e-07,0.5475222162069375,0.0
HotpotQA,cot,0.584,0.0,0.30705000000000005,0.006457553716385197,0.3062175,0.006962340662449669,0.07874475944200592,0.01100266896075847,0.2152271637115411,0.007023151751223664,0.7337246443624869,0.0
HotpotQA,direct,0.47400000000000003,0.0,0.37365000000000004,0.007985533795558063,0.3586325,0.007181043839512461,0.08764429812586746,0.006746518852971447,0.24554661655634655,0.0014348111389250434,0.7393953249586884,0.0
HotpotQA,multistep,0.57,0.0,0.11056208804237497,0.015398047794002218,0.20463526188069103,0.012798755347851092,0.1414572170617862,0.02494826164652213,0.22598180259300288,0.007344047627175282,0.7637311301509588,0.0
HotpotQA,top-k,0.492,0.0,0.3435,0.003358757210636103,0.33560500000000004,0.006304689474906771,0.08928278966503411,0.003123838183909325,0.24168543572549472,0.0014342565804498174,0.730725065616798,0.0
MuSiQue,cot,0.221,0.0,0.59235,0.018506417805723523,0.5210975000000001,0.016486880200632298,0.2790260026576755,0.0022374522350149433,0.25000434132057237,6.041715740539984e-07,0.7255763567399903,0.0
MuSiQue,direct,0.174,0.0,0.5991000000000001,0.003398529093593253,0.5025450000000001,0.0037428222974113597,0.326008961319476,0.0022362012023401426,0.2500046840691718,4.086497931766451e-07,0.6682217305390887,0.0
MuSiQue,multistep,0.23899999999999996,0.0,0.22218853002375,0.006907846466747319,0.2319797515239253,0.012078874082164083,0.2726360990498081,0.006920511118220489,0.24822971294656826,0.0023035765470161905,0.6944809461235217,0.0
MuSiQue,top-k,0.175,0.0,0.59605,0.01147197672591778,0.4955825000000001,0.010817147122739885,0.3250087430242364,7.480290556977851e-07,0.2500045949587925,6.466525684739639e-07,0.6691670995670995,0.0
