,,acc,acc,ece,ece,brier,brier,ece-t,ece-t,brier-t,brier-t,auc,auc
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,prompt,,,,,,,,,,,,
2WikiMultihopQA,cot,0.617,0.0,0.2451,0.024391725031247785,0.24893,0.02387747794732517,0.06866315966504724,0.016622831224761735,0.19799312482869313,0.010454683305508163,0.7441062836685555,0.0
2WikiMultihopQA,direct,0.43200000000000005,0.0,0.39415000000000006,0.007257754473664673,0.39687750000000005,0.00541271939509152,0.07272193385475548,0.005615031830130378,0.2502495369234262,0.0005017469113100759,0.5659742599113198,0.0
2WikiMultihopQA,multistep,0.61,0.0,0.10573245161437499,0.010109287367933305,0.20664295947878197,0.00790478080734423,0.12356435740564684,0.01496002575010883,0.21066395522957504,0.005132548493517078,0.7399831862126943,0.0
2WikiMultihopQA,top-k,0.42800000000000005,0.0,0.39445,0.005802477918958389,0.3872725,0.011278413424546921,0.07274872882214682,0.0024704769936756124,0.25007586603038917,0.00016926349533757161,0.6229168028233447,0.0
HotpotQA,cot,0.7337337337337337,0.0,0.16531834170854276,0.008207813484227312,0.18153069095477387,0.009671403073284495,0.08282745707082204,0.025211517201909058,0.15991838592215424,0.005899688146950133,0.7877683636102534,0.0
HotpotQA,direct,0.659,0.0,0.21390000000000003,0.006421643091919722,0.24419,0.003385382179311519,0.10688163732432346,0.029455618120528226,0.20734314457873965,0.004317072438219036,0.7248675011903756,0.0
HotpotQA,multistep,0.723,0.0,0.16250092604,0.013010376936099017,0.18111150401035556,0.01223574779685271,0.1733143152871593,0.021509723265763676,0.1872056826302026,0.0083946354348395,0.7827219118094981,0.0
HotpotQA,top-k,0.642,0.0,0.23339000000000004,0.008379618129724046,0.24816089999999996,0.005529783928871002,0.11888244387993092,0.027745926727707416,0.20657550117804716,0.005616102216689662,0.7809459788718911,0.0
MuSiQue,cot,0.345,0.0,0.4737,0.012411436258547997,0.43369,0.013169719648686518,0.17275374040560867,0.004989138094437277,0.2494731051374043,0.002082777854860228,0.7095298152450491,0.0
MuSiQue,direct,0.268,0.0,0.52735,0.0073984795735340045,0.46220750000000005,0.012494885203554315,0.23201837985795457,0.0027393999381029642,0.25000468864550623,1.9289866797713973e-06,0.6663531726612838,0.0
MuSiQue,multistep,0.358,0.0,0.13657005707250003,0.0098126325231781,0.21212064154427912,0.01666612451832114,0.15900062580994537,0.032481812626721125,0.23320839399679016,0.0038902674856457777,0.7370668650690058,0.0
MuSiQue,top-k,0.263,0.0,0.53955,0.007892638975653291,0.4677625000000001,0.009864856340819154,0.23701435369805676,0.0027383962290736773,0.25000441032230464,1.3118042371647455e-06,0.6991064380826596,0.0
