,,acc,acc,ece,ece,brier,brier,ece-t,ece-t,brier-t,brier-t,auc,auc
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,prompt,,,,,,,,,,,,
2WikiMultihopQA,cot,0.593186372745491,0.0,0.2823786934673367,0.016707760651021395,0.2906452904522613,0.016729620081316156,0.09438356641134439,0.04262697364254968,0.2179364019342649,0.009928231076424232,0.7045063074157901,0.0
2WikiMultihopQA,direct,0.4050000000000001,0.0,0.22985000000000003,0.008882215376807721,0.27580249999999995,0.007341413990165645,0.11630589974350851,0.005586633429102577,0.2415656337347558,0.00468276749272452,0.6427388733271087,0.0
2WikiMultihopQA,multistep,0.565,0.0,0.19444683701190002,0.011741278889211924,0.259744429126425,0.015873385434850375,0.12430111926685142,0.01713109095736649,0.2414020996346236,0.0065711230025231725,0.6822215440952091,0.0
2WikiMultihopQA,top-k,0.385,0.0,0.27475,0.01114815007075166,0.3016075,0.012629697764594373,0.11555472916892251,0.0006026086158162321,0.2500261877801699,5.6582075964216005e-05,0.624117833386126,0.0
HotpotQA,cot,0.6713426853707415,0.0,0.22208783919597988,0.008591637986765016,0.23883447336683417,0.008011077504468547,0.14224251710653532,0.03127247004353462,0.19442109091543186,0.004908182049374882,0.7668342737531852,0.0
HotpotQA,direct,0.554,0.0,0.2041,0.018162977454151054,0.242725,0.012822645373517896,0.15287111027759087,0.021434470008559425,0.22122767047574188,0.007014158834375597,0.7734232083016301,0.0
HotpotQA,multistep,0.652,0.0,0.20379105377499998,0.00501274994468351,0.2300622325920227,0.015831907479305213,0.1935139903042028,0.011916642093798096,0.22763202145978897,0.008833304574634437,0.7457403391862352,0.0
HotpotQA,top-k,0.529,0.0,0.22981,0.01744514259041754,0.2533153,0.008286184749328244,0.17127029748104095,0.039029853822866875,0.2249898099689127,0.00380224085007293,0.7772727455159154,0.0
MuSiQue,cot,0.32293762575452717,0.0,0.5162321709557891,0.014361374659826547,0.46896879955332216,0.015407238357461198,0.17709277326889056,0.0021861614744752363,0.25000328876020456,2.7224570807752617e-06,0.7112709632324691,0.0
MuSiQue,direct,0.219,0.0,0.41185,0.014465044071830515,0.3377225,0.01695645249602639,0.28579066499960354,0.0053588943170409875,0.24842458948438112,0.0030930890373086052,0.6940113073626483,0.0
MuSiQue,multistep,0.312,0.0,0.10197691340500004,0.025849518660619297,0.20276457299457123,0.012301685628506894,0.1083177053640628,0.017947225486211787,0.20454678715650004,0.010356117099605017,0.6854921362552175,0.0
MuSiQue,top-k,0.229,0.0,0.43644999999999995,0.021618423855591318,0.36914250000000004,0.021428085760865336,0.27101282928112536,0.002236716961870011,0.2500046221002423,2.203454015732892e-06,0.6437338226881665,0.0
